time,lat,lon,alt,vel
08:52:28,50.0874135,14.3883031667, ,0.04630010700469174
08:52:28,50.0874135,14.3883031667,291.8,
08:52:29,50.0874145,14.3883013333, ,0.04218454193760803
08:52:29,50.0874145,14.3883013333,291.9,
08:52:30,50.0874231667,14.3882905, ,0.6096180755617746
08:52:30,50.0874231667,14.3882905,292.0,
08:52:31,50.0874423333,14.3882766667, ,2.2224051362252037
08:52:31,50.0874423333,14.3882766667,292.0,
08:52:32,50.0874725,14.3882695, ,4.025022635607868
08:52:32,50.0874725,14.3882695,291.9,
08:52:33,50.0875183333,14.3882635, ,5.885772491563092
08:52:33,50.0875183333,14.3882635,291.6,
08:52:34,50.0875743333,14.3882553333, ,7.531484072763191
08:52:34,50.0875743333,14.3882553333,291.6,
08:52:35,50.0876486667,14.3882638333, ,8.61336323977282
08:52:35,50.0876486667,14.3882638333,291.3,
08:52:36,50.0877286667,14.3882571667, ,9.092826570088073
08:52:36,50.0877286667,14.3882571667,291.2,
08:52:37,50.0878093333,14.3882475, ,9.141184459626306
08:52:37,50.0878093333,14.3882475,291.0,
08:52:38,50.0878916667,14.3882325, ,9.52290311959832
08:52:38,50.0878916667,14.3882325,290.8,
08:52:39,50.0879771667,14.3882143333, ,9.93908963700716
08:52:39,50.0879771667,14.3882143333,290.4,
08:52:40,50.088067,14.3881951667, ,10.273479298707711
08:52:40,50.088067,14.3881951667,289.7,
08:52:41,50.0881555,14.3881758333, ,9.815108239361265
08:52:41,50.0881555,14.3881758333,289.3,
08:52:42,50.0882283333,14.388157, ,9.629907811342498
08:52:42,50.0882283333,14.388157,288.8,
08:52:43,50.0883155,14.3881468333, ,9.803790435426784
08:52:43,50.0883155,14.3881468333,288.1,
08:52:44,50.0883801667,14.388115, ,6.260803358301095
08:52:44,50.0883801667,14.388115,285.1,
08:52:45,50.0884408333,14.3881645, ,7.746522347518314
08:52:45,50.0884408333,14.3881645,287.2,
08:52:46,50.0885121667,14.3881488333, ,7.1878343896617
08:52:46,50.0885121667,14.3881488333,282.6,
08:52:47,50.0885976667,14.3881295, ,5.760762202650424
08:52:47,50.0885976667,14.3881295,286.4,
08:52:48,50.0886436667,14.388139, ,4.434006914149313
08:52:48,50.0886436667,14.388139,289.9,
08:52:49,50.0887233333,14.3881215, ,8.028438554613547
08:52:49,50.0887233333,14.3881215,290.1,
08:52:50,50.0888051667,14.3880855, ,8.320643674376491
08:52:50,50.0888051667,14.3880855,290.5,
08:52:51,50.0888865,14.3881031667, ,8.597929870771257
08:52:51,50.0888865,14.3881031667,289.5,
08:52:52,50.088969,14.3880971667, ,8.88550497983373
08:52:52,50.088969,14.3880971667,289.1,
08:52:53,50.0890558333,14.3880791667, ,9.095398798255001
08:52:53,50.0890558333,14.3880791667,289.0,
08:52:54,50.089143,14.3880635, ,9.31763931187752
08:52:54,50.089143,14.3880635,288.7,
08:52:55,50.089231,14.3880528333, ,9.324327105111532
08:52:55,50.089231,14.3880528333,288.3,
08:52:56,50.0893178333,14.3880556667, ,9.32792822454523
08:52:56,50.0893178333,14.3880556667,288.2,
08:52:57,50.0894078333,14.3880818333, ,9.940632973907318
08:52:57,50.0894078333,14.3880818333,287.9,
08:52:58,50.0894958333,14.3881161667, ,10.266277059840316
08:52:58,50.0894958333,14.3881161667,287.4,
08:52:59,50.0895821667,14.3881713333, ,10.533274343567372
08:52:59,50.0895821667,14.3881713333,287.1,
08:53:00,50.0896735,14.3882198333, ,10.813647213762449
08:53:00,50.0896735,14.3882198333,286.5,
08:53:01,50.0897685,14.388268, ,11.05749444398716
08:53:01,50.0897685,14.388268,286.0,
08:53:02,50.0898658333,14.388316, ,11.330150629681455
08:53:02,50.0898658333,14.388316,285.6,
08:53:03,50.0899655,14.388365, ,11.597662359041896
08:53:03,50.0899655,14.388365,285.2,
08:53:04,50.0900673333,14.3884155, ,11.830191785332126
08:53:04,50.0900673333,14.3884155,284.7,
08:53:05,50.0901708333,14.3884703333, ,11.978352127747138
08:53:05,50.0901708333,14.3884703333,284.2,
08:53:06,50.0902798333,14.3885228333, ,11.085788953823359
08:53:06,50.0902798333,14.3885228333,282.9,
08:53:07,50.0904336667,14.388559, ,11.397028562021566
08:53:07,50.0904336667,14.388559,286.8,
08:53:08,50.0905155,14.3886006667, ,11.36358959585151
08:53:08,50.0905155,14.3886006667,289.0,
08:53:09,50.0906405,14.38864, ,11.316260597580047
08:53:09,50.0906405,14.38864,289.3,
08:53:10,50.0907328333,14.3886976667, ,11.89192526133838
08:53:10,50.0907328333,14.3886976667,289.2,
08:53:11,50.0908198333,14.3887601667, ,11.42738085439131
08:53:11,50.0908198333,14.3887601667,289.1,
08:53:12,50.0909105,14.3888053333, ,11.281278294509836
08:53:12,50.0909105,14.3888053333,289.8,
08:53:13,50.0910031667,14.3888306667, ,11.1516379948967
08:53:13,50.0910031667,14.3888306667,289.8,
08:53:14,50.0911016667,14.3888495, ,11.148036875463001
08:53:14,50.0911016667,14.3888495,289.7,
08:53:15,50.0911965,14.3888581667, ,11.856428512634785
08:53:15,50.0911965,14.3888581667,289.8,
08:53:16,50.0913018333,14.3888788333, ,12.448040991028067
08:53:16,50.0913018333,14.3888788333,289.7,
08:53:17,50.0914123333,14.3889013333, ,12.371388591653632
08:53:17,50.0914123333,14.3889013333,289.3,
08:53:18,50.0915213333,14.3889226667, ,12.209338217137214
08:53:18,50.0915213333,14.3889226667,289.2,
08:53:19,50.0916278333,14.3889425, ,12.026195571651987
08:53:19,50.0916278333,14.3889425,289.1,
08:53:20,50.0917333333,14.38896, ,11.867746316569264
08:53:20,50.0917333333,14.38896,289.1,
08:53:21,50.0918358333,14.3889801667, ,11.572968968639394
08:53:21,50.0918358333,14.3889801667,289.1,
08:53:22,50.091939,14.3890003333, ,11.482940982796938
08:53:22,50.091939,14.3890003333,289.2,
08:53:23,50.09204,14.3890215, ,11.171186928965346
08:53:23,50.09204,14.3890215,289.2,
08:53:24,50.0921606667,14.3889968333, ,6.465038274755124
08:53:24,50.0921606667,14.3889968333,289.8,
08:53:25,50.0922268333,14.388993, ,8.299551403407687
08:53:25,50.0922268333,14.388993,286.5,
08:53:26,50.0923056667,14.3890396667, ,7.9523006008724995
08:53:26,50.0923056667,14.3890396667,284.0,
08:53:27,50.0923805,14.3890458333, ,7.747551238785086
08:53:27,50.0923805,14.3890458333,284.7,
08:53:28,50.0924498333,14.38906, ,7.564923038933245
08:53:28,50.0924498333,14.38906,284.2,
08:53:29,50.0925128333,14.3890798333, ,7.456375010288912
08:53:29,50.0925128333,14.3890798333,283.9,
08:53:30,50.09257,14.38912, ,7.230533377232694
08:53:30,50.09257,14.38912,284.1,
08:53:31,50.092614,14.3891723333, ,7.12198534858836
08:53:31,50.092614,14.3891723333,284.0,
08:53:32,50.0926798333,14.3892178333, ,7.133303152522841
08:53:32,50.0926798333,14.3892178333,284.2,
08:53:33,50.0927225,14.3892883333, ,7.2192155732982135
08:53:33,50.0927225,14.3892883333,284.1,
08:53:34,50.0927588333,14.3893741667, ,7.887480451065931
08:53:34,50.0927588333,14.3893741667,284.0,
08:53:35,50.0927903333,14.3894793333, ,8.868013828298626
08:53:35,50.0927903333,14.3894793333,283.6,
08:53:36,50.0928086667,14.3896073333, ,9.916968474771586
08:53:36,50.0928086667,14.3896073333,283.5,
08:53:37,50.0928203333,14.3897455, ,10.29302823277636
08:53:37,50.0928203333,14.3897455,284.1,
08:53:38,50.0928313333,14.3898913333, ,10.549222158202321
08:53:38,50.0928313333,14.3898913333,283.8,
08:53:39,50.0928406667,14.390047, ,10.792040497160261
08:53:39,50.0928406667,14.390047,283.4,
08:53:40,50.0928586667,14.3901941667, ,10.744711498888798
08:53:40,50.0928586667,14.3901941667,283.2,
08:53:41,50.0928191667,14.3902913333, ,9.031093094081816
08:53:41,50.0928191667,14.3902913333,289.1,
08:53:42,50.0928398333,14.3904316667, ,9.737941394353443
08:53:42,50.0928398333,14.3904316667,290.9,
08:53:43,50.0928556667,14.3905723333, ,9.520330891431394
08:53:43,50.0928556667,14.3905723333,290.8,
08:53:44,50.0928735,14.3907031667, ,8.814511482426537
08:53:44,50.0928735,14.3907031667,290.7,
08:53:45,50.0928923333,14.3908188333, ,7.837064778994156
08:53:45,50.0928923333,14.3908188333,290.8,
08:53:46,50.0929058333,14.3909176667, ,6.6605276154416
08:53:46,50.0929058333,14.3909176667,290.6,
08:53:47,50.0929076667,14.3910023333, ,5.957794880237056
08:53:47,50.0929076667,14.3910023333,290.3,
08:53:48,50.0929366667,14.3910898333, ,5.22470985266277
08:53:48,50.0929366667,14.3910898333,290.4,
08:53:49,50.0929248333,14.3911521667, ,4.5476993991275005
08:53:49,50.0929248333,14.3911521667,291.3,
08:53:50,50.0929393333,14.391204, ,3.862972261091448
08:53:50,50.0929393333,14.391204,291.5,
08:53:51,50.0929525,14.3912425, ,2.9817268911021486
08:53:51,50.0929525,14.3912425,291.7,
08:53:52,50.0929591667,14.391268, ,1.793357477981727
08:53:52,50.0929591667,14.391268,292.1,
08:53:53,50.0929675,14.3912776667, ,0.8987365215244053
08:53:53,50.0929675,14.3912776667,292.3,
08:53:54,50.0929658333,14.3912858333, ,0.002572228166927319
08:53:54,50.0929658333,14.3912858333,292.1,
08:53:55,50.092962,14.391291, ,0.009260021400938349
08:53:55,50.092962,14.391291,291.8,
08:53:56,50.0929593333,14.3912938333, ,0.009260021400938349
08:53:56,50.0929593333,14.3912938333,291.4,
08:53:57,50.0929573333,14.391297, ,0.006687793234011029
08:53:57,50.0929573333,14.391297,291.1,
08:53:58,50.0929558333,14.3912986667, ,0.005658901967240101
08:53:58,50.0929558333,14.3912986667,290.8,
08:53:59,50.0929546667,14.3912998333, ,0.007716684500781957
08:53:59,50.0929546667,14.3912998333,290.4,
08:54:00,50.092954,14.391301, ,0.0010288912667709277
08:54:00,50.092954,14.391301,290.1,
08:54:01,50.0929535,14.391302, ,0.009260021400938349
08:54:01,50.0929535,14.391302,289.8,
08:54:02,50.0929535,14.3913033333, ,0.009260021400938349
08:54:02,50.0929535,14.3913033333,289.5,
08:54:03,50.0929536667,14.391304, ,0.0020577825335418554
08:54:03,50.0929536667,14.391304,289.2,
08:54:04,50.0929536667,14.3913045, ,0.006173347600625566
08:54:04,50.0929536667,14.3913045,288.9,
08:54:05,50.0929536667,14.3913048333, ,0.004115565067083711
08:54:05,50.0929536667,14.3913048333,288.7,
08:54:06,50.092954,14.391305, ,0.005144456333854638
08:54:06,50.092954,14.391305,288.3,
08:54:07,50.0929545,14.3913056667, ,0.061219030372870194
08:54:07,50.0929545,14.3913056667,287.9,
08:54:08,50.0929555,14.3913143333, ,1.2192361511235492
08:54:08,50.0929555,14.3913143333,287.6,
08:54:09,50.0929586667,14.3913418333, ,2.856202156556095
08:54:09,50.0929586667,14.3913418333,287.3,
08:54:10,50.092964,14.3913896667, ,4.210737509260022
08:54:10,50.092964,14.3913896667,286.9,
08:54:11,50.092971,14.3914515, ,4.812124454687628
08:54:11,50.092971,14.3914515,286.4,
08:54:12,50.092979,14.3915193333, ,5.015844925508272
08:54:12,50.092979,14.3915193333,286.0,
08:54:13,50.0929843333,14.391588, ,5.2190509506955305
08:54:13,50.0929843333,14.391588,285.6,
08:54:14,50.0929966667,14.3916618333, ,5.338402337640958
08:54:14,50.0929966667,14.3916618333,285.3,
08:54:15,50.0930043333,14.3917355, ,5.408366943781381
08:54:15,50.0930043333,14.3917355,284.9,
08:54:16,50.093013,14.3918098333, ,5.434089225450655
08:54:16,50.093013,14.3918098333,284.6,
08:54:17,50.0930211667,14.391885, ,5.498909375257223
08:54:17,50.0930211667,14.391885,284.3,
08:54:18,50.0930295,14.3919606667, ,5.704687628611408
08:54:18,50.0930295,14.3919606667,284.0,
08:54:19,50.0930381667,14.3920405, ,5.9289859247674706
08:54:19,50.0930381667,14.3920405,283.6,
08:54:20,50.0930455,14.3921213333, ,6.149168655856449
08:54:20,50.0930455,14.3921213333,283.3,
08:54:21,50.0930598333,14.3922093333, ,6.211931023129475
08:54:21,50.0930598333,14.3922093333,282.9,
08:54:22,50.093063,14.3922871667, ,6.340027985842456
08:54:22,50.093063,14.3922871667,282.7,
08:54:23,50.093073,14.3923878333, ,6.56072516256482
08:54:23,50.093073,14.3923878333,282.1,
08:54:24,50.093085,14.3924826667, ,7.097806403819245
08:54:24,50.093085,14.3924826667,282.0,
08:54:25,50.0930891667,14.3925871667, ,7.434253848053338
08:54:25,50.0930891667,14.3925871667,282.0,
08:54:26,50.093107,14.3926968333, ,8.861840480698
08:54:26,50.093107,14.3926968333,281.2,
08:54:27,50.0931266667,14.3928391667, ,11.172215820232116
08:54:27,50.0931266667,14.3928391667,279.9,
08:54:28,50.0931446667,14.3929978333, ,12.561219030372872
08:54:28,50.0931446667,14.3929978333,279.1,
08:54:29,50.0931636667,14.3931735, ,13.199131615770845
08:54:29,50.0931636667,14.3931735,278.3,
08:54:30,50.0931856667,14.3933576667, ,13.386904271956539
08:54:30,50.0931856667,14.3933576667,277.9,
08:54:31,50.0931923333,14.3935178333, ,13.582393612643017
08:54:31,50.0931923333,14.3935178333,278.7,
08:54:32,50.0932265,14.3937078333, ,14.012470162153264
08:54:32,50.0932265,14.3937078333,278.3,
08:54:33,50.0932593333,14.3939046667, ,14.32473866161824
08:54:33,50.0932593333,14.3939046667,277.6,
08:54:34,50.0932911667,14.3940981667, ,14.406021071693143
08:54:34,50.0932911667,14.3940981667,276.7,
08:54:35,50.093321,14.3942905, ,14.4039632891596
08:54:35,50.093321,14.3942905,275.9,
08:54:36,50.0933378333,14.3944893333, ,13.80977858259939
08:54:36,50.0933378333,14.3944893333,275.4,
08:54:37,50.0933456667,14.3946745, ,13.789200757263972
08:54:37,50.0933456667,14.3946745,274.9,
08:54:38,50.0933806667,14.3948725, ,13.802061898098609
08:54:38,50.0933806667,14.3948725,274.7,
08:54:39,50.0933865,14.3950453333, ,13.781484072763192
08:54:39,50.0933865,14.3950453333,275.0,
08:54:40,50.0934133333,14.3952338333, ,14.009897933986336
08:54:40,50.0934133333,14.3952338333,274.3,
08:54:41,50.0934401667,14.3954241667, ,14.098382582928636
08:54:41,50.0934401667,14.3954241667,273.7,
08:54:42,50.0934678333,14.395613, ,14.075746975059676
08:54:42,50.0934678333,14.395613,272.8,
08:54:43,50.093496,14.3957976667, ,13.7032883364886
08:54:43,50.093496,14.3957976667,271.9,
08:54:44,50.093509,14.3959706667, ,12.141945839163718
08:54:44,50.093509,14.3959706667,271.6,
08:54:45,50.0935126667,14.3961195, ,11.062638900321014
08:54:45,50.0935126667,14.3961195,271.1,
08:54:46,50.0935403333,14.3962726667, ,9.818194913161577
08:54:46,50.0935403333,14.3962726667,271.4,
08:54:47,50.0934983333,14.3963628333, ,8.801135895958515
08:54:47,50.0934983333,14.3963628333,273.3,
08:54:48,50.0935226667,14.3964881667, ,8.433307268087908
08:54:48,50.0935226667,14.3964881667,274.2,
08:54:49,50.093526,14.3965995, ,7.546402996131369
08:54:49,50.093526,14.3965995,274.0,
08:54:50,50.0935263333,14.3966978333, ,6.7238044283480125
08:54:50,50.0935263333,14.3966978333,273.8,
08:54:51,50.0935255,14.3967853333, ,5.836385710758087
08:54:51,50.0935255,14.3967853333,273.9,
08:54:52,50.09352,14.39688, ,5.488620462589513
08:54:52,50.09352,14.39688,273.8,
08:54:53,50.09351,14.3969645, ,5.424829204049716
08:54:53,50.09351,14.3969645,273.8,
08:54:54,50.0934906667,14.3970375, ,6.110070787719154
08:54:54,50.0934906667,14.3970375,273.8,
08:54:55,50.0934821667,14.3971341667, ,6.184150958926661
08:54:55,50.0934821667,14.3971341667,273.4,
08:54:56,50.093469,14.3972213333, ,6.109041896452383
08:54:56,50.093469,14.3972213333,273.4,
08:54:57,50.093455,14.397305, ,5.980430488106017
08:54:57,50.093455,14.397305,273.5,
08:54:58,50.0934418333,14.3973841667, ,5.464441517820396
08:54:58,50.0934418333,14.3973841667,273.4,
08:54:59,50.0934303333,14.3974538333, ,4.571878343896617
08:54:59,50.0934303333,14.3974538333,273.4,
08:55:00,50.0934218333,14.3975051667, ,3.349555518972755
08:55:00,50.0934218333,14.3975051667,273.5,
08:55:01,50.0934146667,14.3975435, ,1.9692978845995555
08:55:01,50.0934146667,14.3975435,273.6,
08:55:02,50.093412,14.3975643333, ,0.6029302823277636
08:55:02,50.093412,14.3975643333,273.6,
08:55:03,50.0934123333,14.3975703333, ,0.01080335830109474
08:55:03,50.0934123333,14.3975703333,273.5,
08:55:04,50.093413,14.3975713333, ,0.011317803934480203
08:55:04,50.093413,14.3975713333,273.5,
08:55:05,50.0934136667,14.3975725, ,0.004630010700469174
08:55:05,50.0934136667,14.3975725,273.4,
08:55:06,50.0934141667,14.3975733333, ,0.006173347600625566
08:55:06,50.0934141667,14.3975733333,273.3,
08:55:07,50.093415,14.397574, ,0.005144456333854638
08:55:07,50.093415,14.397574,273.2,
08:55:08,50.0934158333,14.397575, ,0.003601119433698247
08:55:08,50.0934158333,14.397575,273.1,
08:55:09,50.0934166667,14.3975755, ,0.004115565067083711
08:55:09,50.0934166667,14.3975755,273.0,
08:55:10,50.0934173333,14.3975761667, ,0.0010288912667709277
08:55:10,50.0934173333,14.3975761667,272.9,
08:55:11,50.093418,14.3975768333, ,0.003086673800312783
08:55:11,50.093418,14.3975768333,272.8,
08:55:12,50.0934185,14.397577, ,0.006173347600625566
08:55:12,50.0934185,14.397577,272.7,
08:55:13,50.0934188333,14.3975768333, ,0.008231130134167422
08:55:13,50.0934188333,14.3975768333,272.6,
08:55:14,50.093419,14.3975766667, ,0.015433369001563915
08:55:14,50.093419,14.3975766667,272.4,
08:55:15,50.0934193333,14.3975765, ,0.004115565067083711
08:55:15,50.0934193333,14.3975765,272.3,
08:55:16,50.0934198333,14.3975765, ,0.003086673800312783
08:55:16,50.0934198333,14.3975765,272.2,
08:55:17,50.0934203333,14.3975763333, ,0.002572228166927319
08:55:17,50.0934203333,14.3975763333,272.0,
08:55:18,50.0934208333,14.3975761667, ,0.003086673800312783
08:55:18,50.0934208333,14.3975761667,271.9,
08:55:19,50.0934211667,14.3975758333, ,0.002572228166927319
08:55:19,50.0934211667,14.3975758333,271.8,
08:55:20,50.0934213333,14.3975753333, ,0.0838546382418306
08:55:20,50.0934213333,14.3975753333,271.6,
08:55:21,50.0934198333,14.3975846667, ,1.2645073668614701
08:55:21,50.0934198333,14.3975846667,271.5,
08:55:22,50.0934145,14.3976133333, ,2.9755535435015226
08:55:22,50.0934145,14.3976133333,271.4,
08:55:23,50.0934046667,14.3976643333, ,4.605831755700057
08:55:23,50.0934046667,14.3976643333,271.4,
08:55:24,50.0933906667,14.3977338333, ,5.815807885422668
08:55:24,50.0933906667,14.3977338333,271.4,
08:55:25,50.093381,14.3978145, ,5.94596263066919
08:55:25,50.093381,14.3978145,271.4,
08:55:26,50.0933598333,14.397895, ,5.978887151205861
08:55:26,50.0933598333,14.397895,271.3,
08:55:27,50.0933441667,14.3979746667, ,6.029302823277637
08:55:27,50.0933441667,14.3979746667,271.2,
08:55:28,50.0933291667,14.398056, ,6.060169561280763
08:55:28,50.0933291667,14.398056,271.2,
08:55:29,50.093314,14.3981373333, ,6.278808955469586
08:55:29,50.093314,14.3981373333,270.9,
08:55:30,50.093303,14.3982241667, ,6.880195900897194
08:55:30,50.093303,14.3982241667,270.6,
08:55:31,50.0933,14.3983258333, ,7.840151452794469
08:55:31,50.0933,14.3983258333,270.6,
08:55:32,50.0933138333,14.3984338333, ,8.811424808626224
08:55:32,50.0933138333,14.3984338333,270.5,
08:55:33,50.09333,14.3985548333, ,9.688040167915055
08:55:33,50.09333,14.3985548333,270.1,
08:55:34,50.0933531667,14.398682, ,10.913449666639229
08:55:34,50.0933531667,14.398682,270.0,
08:55:35,50.0933721667,14.3988223333, ,9.638138941476665
08:55:35,50.0933721667,14.3988223333,269.9,
08:55:36,50.0933978333,14.3989751667, ,11.886780805004529
08:55:36,50.0933978333,14.3989751667,267.3,
08:55:37,50.093423,14.399156, ,11.939254259609843
08:55:37,50.093423,14.399156,267.1,
08:55:38,50.0934456667,14.3993268333, ,12.92750432134332
08:55:38,50.0934456667,14.3993268333,268.0,
08:55:39,50.0934561667,14.399492, ,11.282307185776608
08:55:39,50.0934561667,14.399492,268.9,
08:55:40,50.0934843333,14.3996615, ,12.728413861223146
08:55:40,50.0934843333,14.3996615,268.7,
08:55:41,50.0935105,14.3998303333, ,12.965573298213844
08:55:41,50.0935105,14.3998303333,268.3,
08:55:42,50.0935465,14.4000101667, ,13.213021647872253
08:55:42,50.0935465,14.4000101667,267.6,
08:55:43,50.0935701667,14.4001968333, ,13.539180179438638
08:55:43,50.0935701667,14.4001968333,266.8,
08:55:44,50.093593,14.4003906667, ,13.786628529097044
08:55:44,50.093593,14.4003906667,265.7,
08:55:45,50.0936208333,14.4005825, ,13.760906247427771
08:55:45,50.0936208333,14.4005825,265.2,
08:55:46,50.093648,14.4007726667, ,13.76553625812824
08:55:46,50.093648,14.4007726667,264.7,
08:55:47,50.0936768333,14.4009613333, ,13.701744999588444
08:55:47,50.0936768333,14.4009613333,263.5,
08:55:48,50.093706,14.401157, ,13.824183060334184
08:55:48,50.093706,14.401157,262.9,
08:55:49,50.0937331667,14.4013523333, ,13.785085192196888
08:55:49,50.0937331667,14.4013523333,262.2,
08:55:50,50.093761,14.4015451667, ,13.5546135484402
08:55:50,50.093761,14.4015451667,261.8,
08:55:51,50.093787,14.401729, ,13.020104535352704
08:55:51,50.093787,14.401729,261.2,
08:55:52,50.093812,14.4019048333, ,12.635299201580377
08:55:52,50.093812,14.4019048333,261.0,
08:55:53,50.0938375,14.402076, ,12.409457568524159
08:55:53,50.0938375,14.402076,260.7,
08:55:54,50.0938628333,14.4022443333, ,12.2381471726068
08:55:54,50.0938628333,14.4022443333,260.3,
08:55:55,50.0938865,14.402411, ,11.96600543254589
08:55:55,50.0938865,14.402411,260.0,
08:55:56,50.0939123333,14.4025696667, ,11.57914231624002
08:55:56,50.0939123333,14.4025696667,259.6,
08:55:57,50.0939358333,14.4027275, ,11.597662359041896
08:55:57,50.0939358333,14.4027275,259.2,
08:55:58,50.093983,14.4030375, ,8.136472137624496
08:55:58,50.093983,14.4030375,259.2,
08:55:59,50.094034,14.4031345, ,10.632562350810765
08:55:59,50.094034,14.4031345,259.2,
08:56:00,50.0940945,14.403277, ,10.48028644332867
08:56:00,50.0940945,14.403277,257.6,
08:56:01,50.0940883333,14.403431, ,10.58111778747222
08:56:01,50.0940883333,14.403431,256.8,
08:56:02,50.094113,14.4035573333, ,10.336756111614125
08:56:02,50.094113,14.4035573333,256.6,
08:56:03,50.0941335,14.4036853333, ,9.906165116470492
08:56:03,50.0941335,14.4036853333,256.5,
08:56:04,50.0941518333,14.4038048333, ,9.218865750267513
08:56:04,50.0941518333,14.4038048333,256.9,
08:56:05,50.0941691667,14.403913, ,8.662750020577825
08:56:05,50.0941691667,14.403913,257.1,
08:56:06,50.0941888333,14.4040498333, ,7.883364885998848
08:56:06,50.0941888333,14.4040498333,257.1,
08:56:07,50.0942216667,14.4041696667, ,5.78854226685324
08:56:07,50.0942216667,14.4041696667,259.1,
08:56:08,50.094153,14.4042143333, ,4.4916248250884845
