Time,leaps,gnssId,SatelliteID,C1I,L1I,D1I,C1Istd,L1Istd,D1Istd,C1Ivalid,L1Ivalid,L1ILocktime,L1IHalfCycleValid,L1IHalfCycleSubtrated,C1Isnr,C7I,L7I,D7I,C7Istd,L7Istd,D7Istd,C7Ivalid,L7Ivalid,L7ILocktime,L7IHalfCycleValid,L7IHalfCycleSubtrated,C7Isnr
2024-07-10 07:31:20.002,18,3,58,35047685.77945052,182502493.00514594,-2038.240234375,3.0,1.0,6.0,1.0,1.0,30000.0,1.0,1.0,49.0,,,,,,,,,,,,
2024-07-10 07:31:20.002,18,3,27,22167049.816768013,115429645.23961437,-537.8955078125,4.0,3.0,7.0,1.0,1.0,30000.0,1.0,0.0,41.0,,,,,,,,,,,,
2024-07-10 07:31:20.002,18,3,33,24887255.532646284,129594469.52271149,-647.188720703125,6.0,4.0,9.0,1.0,1.0,920.0,0.0,0.0,41.0,,,,,,,,,,,,
2024-07-10 07:31:20.002,18,3,8,39358970.53331653,204952487.38757247,-1978.594970703125,8.0,8.0,10.0,1.0,1.0,860.0,0.0,0.0,33.0,,,,,,,,,,,,
2024-07-10 07:31:20.002,18,3,13,38609178.67001866,201048131.96792874,-1689.5518798828125,3.0,2.0,7.0,1.0,1.0,17000.0,1.0,1.0,45.0,,,,,,,,,,,,
2024-07-10 07:31:21.002,18,3,28,23573915.784888346,122755568.15584481,-2919.485595703125,5.0,4.0,8.0,1.0,1.0,31000.0,1.0,1.0,41.0,,,,,,,,,,,,
2024-07-10 07:31:21.002,18,3,36,24979613.80337408,130075403.42085971,-518.409423828125,8.0,8.0,11.0,1.0,1.0,260.0,0.0,0.0,32.0,,,,,,,,,,,,
2024-07-10 07:31:21.002,18,3,41,25361899.566702984,132066064.76570776,1835.57275390625,4.0,3.0,7.0,1.0,1.0,31000.0,1.0,1.0,45.0,,,,,,,,,,,,
2024-07-10 07:31:21.002,18,3,58,35048077.29588617,182504530.8172123,-2037.5765380859375,3.0,1.0,6.0,1.0,1.0,31000.0,1.0,1.0,49.0,,,,,,,,,,,,
2024-07-10 07:31:21.002,18,3,27,22167153.348211855,115430184.14869888,-540.631103515625,4.0,3.0,7.0,1.0,1.0,31000.0,1.0,0.0,41.0,,,,,,,,,,,,
2024-07-10 07:31:21.002,18,3,33,24887379.542828053,129595114.7297146,-643.7476196289062,5.0,4.0,8.0,1.0,1.0,1920.0,1.0,1.0,41.0,,,,,,,,,,,,
2024-07-10 07:31:21.002,18,3,8,39359348.88900736,204954457.45598114,-1989.01806640625,8.0,15.0,10.0,1.0,0.0,0.0,0.0,0.0,31.0,,,,,,,,,,,,
2024-07-10 07:31:21.002,18,3,13,38609503.165333234,201049821.00608376,-1688.7120361328125,4.0,2.0,7.0,1.0,1.0,18000.0,1.0,1.0,46.0,,,,,,,,,,,,
2024-07-10 07:31:22.002,18,3,28,23574476.284904934,122758487.04387827,-2918.0556640625,5.0,3.0,8.0,1.0,1.0,32000.0,1.0,1.0,46.0,,,,,,,,,,,,
2024-07-10 07:31:22.002,18,3,36,24979712.53175019,130075926.08637802,-526.795654296875,8.0,7.0,10.0,1.0,1.0,1260.0,0.0,0.0,33.0,,,,,,,,,,,,
2024-07-10 07:31:22.002,18,3,41,25361546.481859077,132064226.64272669,1840.392578125,4.0,3.0,7.0,1.0,1.0,32000.0,1.0,1.0,45.0,,,,,,,,,,,,
2024-07-10 07:31:22.002,18,3,58,35048468.59216987,182506568.5146726,-2037.424560546875,3.0,1.0,6.0,1.0,1.0,32000.0,1.0,1.0,50.0,,,,,,,,,,,,
2024-07-10 07:31:22.002,18,3,27,22167257.32009919,115430726.07855457,-543.70849609375,4.0,3.0,7.0,1.0,1.0,32000.0,1.0,0.0,42.0,,,,,,,,,,,,
2024-07-10 07:31:22.002,18,3,33,24887503.026013244,129595759.01832515,-645.695556640625,6.0,15.0,9.0,1.0,0.0,0.0,0.0,0.0,31.0,,,,,,,,,,,,
2024-07-10 07:31:22.002,18,3,13,38609827.41013248,201051509.49547935,-1688.504150390625,4.0,2.0,7.0,1.0,1.0,19000.0,1.0,1.0,44.0,38609823.13373299,155465757.9724023,-1305.22998046875,4.0,3.0,8.0,1.0,1.0,1000.0,1.0,0.0,39.0
2024-07-10 07:31:23.002,18,3,28,23575036.703184698,122761403.95773986,-2916.35791015625,4.0,2.0,7.0,1.0,1.0,33000.0,1.0,1.0,47.0,,,,,,,,,,,,
2024-07-10 07:31:23.002,18,3,36,24979815.278213438,130076456.43897262,-532.3583984375,7.0,5.0,9.0,1.0,1.0,2260.0,0.0,0.0,35.0,,,,,,,,,,,,
2024-07-10 07:31:23.002,18,3,41,25361192.76992414,132062385.18380235,1842.828369140625,4.0,3.0,7.0,1.0,1.0,33000.0,1.0,1.0,42.0,,,,,,,,,,,,
2024-07-10 07:31:23.002,18,3,58,35048860.03161516,182508605.9501053,-2037.651123046875,3.0,1.0,6.0,1.0,1.0,33000.0,1.0,1.0,50.0,,,,,,,,,,,,
2024-07-10 07:31:23.002,18,3,27,22167361.98496957,115431270.79512192,-546.75537109375,4.0,3.0,7.0,1.0,1.0,33000.0,1.0,0.0,41.0,,,,,,,,,,,,
