Time,leaps,gnssId,SatelliteID,C1C,L1C,D1C,C1Cstd,L1Cstd,D1Cstd,C1Cvalid,L1Cvalid,L1CLocktime,L1CHalfCycleValid,L1CHalfCycleSubtrated,C1Csnr,C2X,L2X,D2X,C2Xstd,L2Xstd,D2Xstd,C2Xvalid,L2Xvalid,L2XLocktime,L2XHalfCycleValid,L2XHalfCycleSubtrated,C2Xsnr
2024-07-10 07:31:19.002,18,0,23,21690342.327335447,113983517.5705893,-79.232177734375,3.0,2.0,7.0,1.0,1.0,29000.0,1.0,1.0,44.0,21690339.546489406,88818312.8486968,-61.170654296875,5.0,4.0,8.0,1.0,1.0,24460.0,1.0,0.0,38.0
2024-07-10 07:31:19.002,18,0,27,21223067.975890297,111527973.21617037,668.649169921875,5.0,3.0,7.0,1.0,1.0,29000.0,1.0,1.0,42.0,21223063.5799219,86904896.7796617,521.47216796875,9.0,7.0,11.0,1.0,0.0,0.0,1.0,0.0,25.0
2024-07-10 07:31:19.002,18,0,26,23436875.984817863,123161609.77865514,-4218.30615234375,7.0,8.0,9.0,1.0,1.0,3300.0,1.0,0.0,34.0,,,,,,,,,,,,
2024-07-10 07:31:19.002,18,0,1,23601984.889812425,124029267.05553247,-4571.16552734375,6.0,5.0,8.0,1.0,1.0,920.0,0.0,0.0,42.0,,,,,,,,,,,,
2024-07-10 07:31:19.002,18,0,10,22921888.342292782,120455334.5307378,1919.2138671875,4.0,2.0,7.0,1.0,1.0,13520.0,1.0,1.0,45.0,22921890.664448813,93861299.8697407,1495.5634765625,8.0,5.0,8.0,1.0,1.0,4780.0,1.0,0.0,36.0
2024-07-10 07:31:19.002,18,0,7,25677584.57548551,134936617.4788625,-435.60546875,8.0,10.0,10.0,1.0,1.0,820.0,0.0,0.0,28.0,,,,,,,,,,,,
2024-07-10 07:31:19.002,18,0,18,22907602.142262764,120380261.98734619,-3542.97119140625,5.0,3.0,8.0,1.0,1.0,12140.0,1.0,1.0,45.0,22907597.67070003,93802775.33232741,-2760.85693359375,5.0,3.0,7.0,1.0,1.0,29000.0,1.0,1.0,41.0
2024-07-10 07:31:19.002,18,0,8,,,,,,,,,,,,,23478462.407028034,96140378.63398193,1716.388671875,10.0,15.0,12.0,1.0,0.0,0.0,0.0,0.0,21.0
2024-07-10 07:31:20.002,18,0,15,24464997.7303552,128564430.789034,-365.625,8.0,7.0,10.0,1.0,1.0,120.0,0.0,0.0,34.0,,,,,,,,,,,,
2024-07-10 07:31:20.002,18,0,16,21575495.137356244,113379994.04133019,-2274.08447265625,3.0,2.0,7.0,1.0,1.0,30000.0,1.0,1.0,45.0,,,,,,,,,,,,
