time,lat,lon,vel
07:30:58,50.053198,14.5208085,
07:30:59,50.0532403333,14.5206375,13.03296567618734
07:30:59,50.0532403333,14.5206375,
07:31:00,50.0532858333,14.5204738333,12.540126759404068
07:31:00,50.0532858333,14.5204738333,
07:31:01,50.053333,14.5203215,11.825561774631655
07:31:01,50.053333,14.5203215,
07:31:02,50.0533813333,14.5201823333,10.976212033912255
07:31:02,50.0533813333,14.5201823333,
07:31:03,50.0534276667,14.5200573333,9.93240184377315
07:31:03,50.0534276667,14.5200573333,
07:31:04,50.0534711667,14.5199485,8.743003539385958
07:31:04,50.0534711667,14.5199485,
07:31:05,50.0535113333,14.5198553333,7.624598732405959
07:31:05,50.0535113333,14.5198553333,
07:31:06,50.0535483333,14.5197758333,6.564326281998518
07:31:06,50.0535483333,14.5197758333,
07:31:07,50.05358,14.519709,5.569388427031032
07:31:07,50.05358,14.519709,
07:31:08,50.0536065,14.5196523333,4.636698493703185
07:31:08,50.0536065,14.5196523333,
07:31:09,50.0536285,14.519605,3.836735533788789
07:31:09,50.0536285,14.519605,
07:31:10,50.0536461667,14.519567,3.034714791340851
07:31:10,50.0536461667,14.519567,
07:31:11,50.0536585,14.5195396667,2.048522512140917
07:31:11,50.0536585,14.5195396667,
07:31:12,50.0536651667,14.5195243333,1.229010618157873
07:31:12,50.0536651667,14.5195243333,
07:31:13,50.0536708333,14.5195173333,1.038151288171866
07:31:13,50.0536708333,14.5195173333,
07:31:14,50.0536758333,14.5195136667,0.8503786319861717
07:31:14,50.0536758333,14.5195136667,
07:31:15,50.0536795,14.519512,0.6662070952341757
07:31:15,50.0536795,14.519512,
07:31:16,50.0536831667,14.5195116667,0.7166227673059511
07:31:16,50.0536831667,14.5195116667,
07:31:17,50.053685,14.5195121667,0.3719441929376903
07:31:17,50.053685,14.5195121667,
07:31:18,50.053685,14.519512,0.0
07:31:18,50.053685,14.519512,
07:31:19,50.053685,14.5195121667,0.0
07:31:19,50.053685,14.5195121667,
07:31:20,50.0536848333,14.519513,0.0
07:31:20,50.0536848333,14.519513,
07:31:21,50.0536848333,14.5195126667,0.0
07:31:21,50.0536848333,14.5195126667,
07:31:22,50.0536851667,14.5195125,0.0
07:31:22,50.0536851667,14.5195125,
07:31:23,50.0536851667,14.5195135,0.0
07:31:23,50.0536851667,14.5195135,
07:31:24,50.0536858333,14.519515,0.2608239361264302
07:31:24,50.0536858333,14.519515,
07:31:25,50.0536883333,14.519519,0.5139311877520784
07:31:25,50.0536883333,14.519519,
07:31:26,50.0536921667,14.5195248333,0.7654951024775701
07:31:26,50.0536921667,14.5195248333,
07:31:27,50.0536861667,14.5195138333,0.6723804428348011
07:31:27,50.0536861667,14.5195138333,
07:31:28,50.0536948333,14.5195006667,1.843258704420117
07:31:28,50.0536948333,14.5195006667,
07:31:29,50.0537133333,14.519472,3.2651864350975393
07:31:29,50.0537133333,14.519472,
07:31:30,50.0537436667,14.5194153333,5.103815128817186
07:31:30,50.0537436667,14.5194153333,
07:31:31,50.05378,14.5193451667,6.833895793892502
07:31:31,50.05378,14.5193451667,
07:31:32,50.0538168333,14.5192705,7.759383488352951
07:31:32,50.0538168333,14.5192705,
07:31:33,50.0538561667,14.5191851667,8.177113342661947
07:31:33,50.0538561667,14.5191851667,
07:31:34,50.0538956667,14.5190951667,8.077310889785167
07:31:34,50.0538956667,14.5190951667,
07:31:35,50.0539346667,14.5190063333,7.81391472549181
07:31:35,50.0539346667,14.5190063333,
07:31:36,50.053972,14.5189216667,7.375607045847395
07:31:36,50.053972,14.5189216667,
07:31:37,50.0540061667,14.518843,6.645094246440036
07:31:37,50.0540061667,14.518843,
07:31:38,50.054036,14.5187736667,5.70674541114495
07:31:38,50.054036,14.5187736667,
07:31:39,50.0540601667,14.518716,4.571878343896617
07:31:39,50.0540601667,14.518716,
07:31:40,50.05408,14.5186666667,3.7626553625812824
07:31:40,50.05408,14.5186666667,
07:31:41,50.054096,14.5186273333,2.9806979998353773
07:31:41,50.054096,14.5186273333,
07:31:42,50.054109,14.5185971667,2.46779570335007
07:31:42,50.054109,14.5185971667,
07:31:43,50.0541198333,14.5185743333,1.9893612643015885
07:31:43,50.0541198333,14.5185743333,
07:31:44,50.054128,14.5185576667,1.5150423903201908
07:31:44,50.054128,14.5185576667,
07:31:45,50.0541325,14.518548,0.9311465964276895
07:31:45,50.0541325,14.518548,
07:31:46,50.0541323333,14.5185478333,0.0
07:31:46,50.0541323333,14.5185478333,
07:31:47,50.0541323333,14.5185478333,0.0
07:31:47,50.0541323333,14.5185478333,
07:31:48,50.0541323333,14.5185478333,0.0
07:31:48,50.0541323333,14.5185478333,
07:31:49,50.0541323333,14.518548,0.0
07:31:49,50.0541323333,14.518548,
07:31:50,50.0541335,14.5185511667,0.0
07:31:50,50.0541335,14.5185511667,
07:31:51,50.0541401667,14.5185513333,0.9383488352950861
07:31:51,50.0541401667,14.5185513333,
07:31:52,50.0541518333,14.5185395,2.027430241172113
07:31:52,50.0541518333,14.5185395,
07:31:53,50.0541695,14.5185111667,3.381451148242654
07:31:53,50.0541695,14.5185111667,
07:31:54,50.0541983333,14.5184561667,5.3656679562103875
07:31:54,50.0541983333,14.5184561667,
07:31:55,50.0542391667,14.5183736667,7.580870853568195
07:31:55,50.0542391667,14.5183736667,
07:31:56,50.0542838333,14.5182835,8.864927154498313
07:31:56,50.0542838333,14.5182835,
07:31:57,50.0543343333,14.5181796667,9.914910692238044
07:31:57,50.0543343333,14.5181796667,
07:31:58,50.0543895,14.5180636667,10.818791670096305
